Date,Price,Open,High,Low,Change
10/12/2021,4350.64,4368.31,4374.89,4342.09,-0.0024
10/13/2021,4363.8,4358.01,4372.87,4329.92,0.003
10/14/2021,4438.23,4386.75,4439.73,4386.75,0.0171
10/15/2021,4471.37,4447.69,4475.82,4447.69,0.0075
10/18/2021,4486.48,4463.72,4488.75,4447.47,0.0034
10/19/2021,4519.63,4497.34,4520.4,4496.41,0.0074
10/20/2021,4536.19,4524.42,4540.87,4524.4,0.0037
10/21/2021,4549.78,4532.24,4551.44,4526.89,0.003
10/22/2021,4544.9,4546.12,4559.67,4524,-0.0011
10/25/2021,4566.48,4553.69,4572.62,4537.36,0.0047
10/26/2021,4574.79,4578.69,4598.53,4569.17,0.0018
10/27/2021,4551.68,4580.22,4584.57,4551.66,-0.0051
10/28/2021,4596.42,4562.84,4597.55,4562.84,0.0098
10/29/2021,4605.38,4572.87,4608.08,4567.59,0.0019
11/01/2021,4613.67,4610.62,4620.34,4595.06,0.0018
11/02/2021,4630.65,4613.34,4635.15,4613.34,0.0037
11/03/2021,4660.57,4630.65,4663.46,4621.19,0.0065
11/04/2021,4680.06,4662.93,4683,4662.59,0.0042
11/05/2021,4697.53,4699.26,4718.5,4681.32,0.0037
11/08/2021,4701.7,4701.48,4714.92,4694.39,0.0009
11/09/2021,4685.25,4707.25,4708.53,4670.87,-0.0035
11/10/2021,4646.71,4670.26,4684.85,4630.86,-0.0082
11/11/2021,4649.27,4659.39,4664.55,4648.31,0.0006
11/12/2021,4682.85,4655.24,4688.47,4650.77,0.0072
11/15/2021,4682.81,4689.3,4697.42,4672.86,0
11/16/2021,4700.9,4679.42,4714.95,4679.42,0.0039
11/17/2021,4688.67,4701.5,4701.5,4684.41,-0.0026
11/18/2021,4706.64,4700.72,4708.75,4672.78,0.0038
11/19/2021,4697.96,4708.44,4717.75,4694.22,-0.0018
11/22/2021,4682.95,4712,4743.83,4682.17,-0.0032
11/23/2021,4690.7,4678.48,4699.39,4652.66,0.0017
11/24/2021,4701.46,4675.78,4702.87,4659.89,0.0023
11/26/2021,4594.62,4664.63,4664.63,4585.43,-0.0227
11/29/2021,4655.27,4628.75,4672.95,4625.26,0.0132
11/30/2021,4567,4640.25,4646.02,4560,-0.019
12/01/2021,4513.04,4602.82,4652.94,4510.27,-0.0118
12/02/2021,4577.1,4504.73,4595.46,4504.73,0.0142
12/03/2021,4538.43,4589.49,4608.03,4495.12,-0.0084
12/06/2021,4591.67,4548.37,4612.6,4540.51,0.0117
12/07/2021,4686.75,4631.97,4694.04,4631.97,0.0207
12/08/2021,4701.21,4690.86,4705.06,4674.52,0.0031
12/09/2021,4667.45,4691,4695.26,4665.98,-0.0072
12/10/2021,4712.02,4687.64,4713.57,4670.24,0.0095
12/13/2021,4669.15,4710.3,4710.3,4667.6,-0.0091
12/14/2021,4634.09,4642.99,4660.47,4606.52,-0.0075
12/15/2021,4709.84,4636.46,4712.6,4611.22,0.0163
12/16/2021,4668.67,4719.13,4731.99,4651.89,-0.0087
12/17/2021,4620.64,4652.5,4666.7,4600.22,-0.0103
12/20/2021,4568.02,4587.9,4587.9,4531.1,-0.0114
12/21/2021,4649.23,4594.96,4651.14,4583.16,0.0178
12/22/2021,4696.56,4650.36,4697.67,4645.53,0.0102
12/23/2021,4725.78,4703.96,4740.74,4703.96,0.0062
12/27/2021,4791.19,4733.99,4791.49,4733.99,0.0138
12/28/2021,4786.36,4795.49,4807.02,4780.04,-0.001
12/29/2021,4793.06,4788.64,4804.06,4778.08,0.0014
12/30/2021,4778.73,4794.23,4808.93,4775.33,-0.003
12/31/2021,4766.18,4775.21,4786.83,4765.75,-0.0026
